date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
325,2021-11-21,21,11,November,4,2021,46,Sunday,True
326,2021-11-22,22,11,November,4,2021,47,Monday,False
327,2021-11-23,23,11,November,4,2021,47,Tuesday,False
328,2021-11-24,24,11,November,4,2021,47,Wednesday,False
329,2021-11-25,25,11,November,4,2021,47,Thursday,False
330,2021-11-26,26,11,November,4,2021,47,Friday,False
331,2021-11-27,27,11,November,4,2021,47,Saturday,True
332,2021-11-28,28,11,November,4,2021,47,Sunday,True
333,2021-11-29,29,11,November,4,2021,48,Monday,False
334,2021-11-30,30,11,November,4,2021,48,Tuesday,False
335,2021-12-01,1,12,December,4,2021,48,Wednesday,False
336,2021-12-02,2,12,December,4,2021,48,Thursday,False
337,2021-12-03,3,12,December,4,2021,48,Friday,False
338,2021-12-04,4,12,December,4,2021,48,Saturday,True
339,2021-12-05,5,12,December,4,2021,48,Sunday,True
340,2021-12-06,6,12,December,4,2021,49,Monday,False
341,2021-12-07,7,12,December,4,2021,49,Tuesday,False
342,2021-12-08,8,12,December,4,2021,49,Wednesday,False
343,2021-12-09,9,12,December,4,2021,49,Thursday,False
344,2021-12-10,10,12,December,4,2021,49,Friday,False
345,2021-12-11,11,12,December,4,2021,49,Saturday,True
346,2021-12-12,12,12,December,4,2021,49,Sunday,True
347,2021-12-13,13,12,December,4,2021,50,Monday,False
348,2021-12-14,14,12,December,4,2021,50,Tuesday,False
349,2021-12-15,15,12,December,4,2021,50,Wednesday,False
350,2021-12-16,16,12,December,4,2021,50,Thursday,False
351,2021-12-17,17,12,December,4,2021,50,Friday,False
352,2021-12-18,18,12,December,4,2021,50,Saturday,True
353,2021-12-19,19,12,December,4,2021,50,Sunday,True
354,2021-12-20,20,12,December,4,2021,51,Monday,False
355,2021-12-21,21,12,December,4,2021,51,Tuesday,False
356,2021-12-22,22,12,December,4,2021,51,Wednesday,False
357,2021-12-23,23,12,December,4,2021,51,Thursday,False
358,2021-12-24,24,12,December,4,2021,51,Friday,False
359,2021-12-25,25,12,December,4,2021,51,Saturday,True
360,2021-12-26,26,12,December,4,2021,51,Sunday,True
361,2021-12-27,27,12,December,4,2021,52,Monday,False
362,2021-12-28,28,12,December,4,2021,52,Tuesday,False
363,2021-12-29,29,12,December,4,2021,52,Wednesday,False
364,2021-12-30,30,12,December,4,2021,52,Thursday,False
365,2021-12-31,31,12,December,4,2021,52,Friday,False
366,2022-01-01,1,1,January,1,2022,52,Saturday,True
367,2022-01-02,2,1,January,1,2022,52,Sunday,True
368,2022-01-03,3,1,January,1,2022,1,Monday,False
369,2022-01-04,4,1,January,1,2022,1,Tuesday,False
370,2022-01-05,5,1,January,1,2022,1,Wednesday,False
371,2022-01-06,6,1,January,1,2022,1,Thursday,False
372,2022-01-07,7,1,January,1,2022,1,Friday,False
373,2022-01-08,8,1,January,1,2022,1,Saturday,True
374,2022-01-09,9,1,January,1,2022,1,Sunday,True
375,2022-01-10,10,1,January,1,2022,2,Monday,False
376,2022-01-11,11,1,January,1,2022,2,Tuesday,False
377,2022-01-12,12,1,January,1,2022,2,Wednesday,False
378,2022-01-13,13,1,January,1,2022,2,Thursday,False
379,2022-01-14,14,1,January,1,2022,2,Friday,False
380,2022-01-15,15,1,January,1,2022,2,Saturday,True
381,2022-01-16,16,1,January,1,2022,2,Sunday,True
382,2022-01-17,17,1,January,1,2022,3,Monday,False
383,2022-01-18,18,1,January,1,2022,3,Tuesday,False
384,2022-01-19,19,1,January,1,2022,3,Wednesday,False
385,2022-01-20,20,1,January,1,2022,3,Thursday,False
386,2022-01-21,21,1,January,1,2022,3,Friday,False
387,2022-01-22,22,1,January,1,2022,3,Saturday,True
388,2022-01-23,23,1,January,1,2022,3,Sunday,True
389,2022-01-24,24,1,January,1,2022,4,Monday,False
390,2022-01-25,25,1,January,1,2022,4,Tuesday,False
391,2022-01-26,26,1,January,1,2022,4,Wednesday,False
392,2022-01-27,27,1,January,1,2022,4,Thursday,False
393,2022-01-28,28,1,January,1,2022,4,Friday,False
394,2022-01-29,29,1,January,1,2022,4,Saturday,True
395,2022-01-30,30,1,January,1,2022,4,Sunday,True
396,2022-01-31,31,1,January,1,2022,5,Monday,False
397,2022-02-01,1,2,February,1,2022,5,Tuesday,False
398,2022-02-02,2,2,February,1,2022,5,Wednesday,False
399,2022-02-03,3,2,February,1,2022,5,Thursday,False
400,2022-02-04,4,2,February,1,2022,5,Friday,False
401,2022-02-05,5,2,February,1,2022,5,Saturday,True
402,2022-02-06,6,2,February,1,2022,5,Sunday,True
403,2022-02-07,7,2,February,1,2022,6,Monday,False
404,2022-02-08,8,2,February,1,2022,6,Tuesday,False
405,2022-02-09,9,2,February,1,2022,6,Wednesday,False
406,2022-02-10,10,2,February,1,2022,6,Thursday,False
407,2022-02-11,11,2,February,1,2022,6,Friday,False
408,2022-02-12,12,2,February,1,2022,6,Saturday,True
409,2022-02-13,13,2,February,1,2022,6,Sunday,True
410,2022-02-14,14,2,February,1,2022,7,Monday,False
411,2022-02-15,15,2,February,1,2022,7,Tuesday,False
412,2022-02-16,16,2,February,1,2022,7,Wednesday,False
413,2022-02-17,17,2,February,1,2022,7,Thursday,False
414,2022-02-18,18,2,February,1,2022,7,Friday,False
415,2022-02-19,19,2,February,1,2022,7,Saturday,True
416,2022-02-20,20,2,February,1,2022,7,Sunday,True
417,2022-02-21,21,2,February,1,2022,8,Monday,False
418,2022-02-22,22,2,February,1,2022,8,Tuesday,False
419,2022-02-23,23,2,February,1,2022,8,Wednesday,False
420,2022-02-24,24,2,February,1,2022,8,Thursday,False
421,2022-02-25,25,2,February,1,2022,8,Friday,False
422,2022-02-26,26,2,February,1,2022,8,Saturday,True
423,2022-02-27,27,2,February,1,2022,8,Sunday,True
424,2022-02-28,28,2,February,1,2022,9,Monday,False
425,2022-03-01,1,3,March,1,2022,9,Tuesday,False
426,2022-03-02,2,3,March,1,2022,9,Wednesday,False
427,2022-03-03,3,3,March,1,2022,9,Thursday,False
428,2022-03-04,4,3,March,1,2022,9,Friday,False
429,2022-03-05,5,3,March,1,2022,9,Saturday,True
430,2022-03-06,6,3,March,1,2022,9,Sunday,True
431,2022-03-07,7,3,March,1,2022,10,Monday,False
432,2022-03-08,8,3,March,1,2022,10,Tuesday,False
433,2022-03-09,9,3,March,1,2022,10,Wednesday,False
434,2022-03-10,10,3,March,1,2022,10,Thursday,False
435,2022-03-11,11,3,March,1,2022,10,Friday,False
436,2022-03-12,12,3,March,1,2022,10,Saturday,True
437,2022-03-13,13,3,March,1,2022,10,Sunday,True
438,2022-03-14,14,3,March,1,2022,11,Monday,False
439,2022-03-15,15,3,March,1,2022,11,Tuesday,False
440,2022-03-16,16,3,March,1,2022,11,Wednesday,False
441,2022-03-17,17,3,March,1,2022,11,Thursday,False
442,2022-03-18,18,3,March,1,2022,11,Friday,False
443,2022-03-19,19,3,March,1,2022,11,Saturday,True
444,2022-03-20,20,3,March,1,2022,11,Sunday,True
445,2022-03-21,21,3,March,1,2022,12,Monday,False
446,2022-03-22,22,3,March,1,2022,12,Tuesday,False
447,2022-03-23,23,3,March,1,2022,12,Wednesday,False
448,2022-03-24,24,3,March,1,2022,12,Thursday,False
449,2022-03-25,25,3,March,1,2022,12,Friday,False
450,2022-03-26,26,3,March,1,2022,12,Saturday,True
451,2022-03-27,27,3,March,1,2022,12,Sunday,True
452,2022-03-28,28,3,March,1,2022,13,Monday,False
453,2022-03-29,29,3,March,1,2022,13,Tuesday,False
454,2022-03-30,30,3,March,1,2022,13,Wednesday,False
455,2022-03-31,31,3,March,1,2022,13,Thursday,False
456,2022-04-01,1,4,April,2,2022,13,Friday,False
457,2022-04-02,2,4,April,2,2022,13,Saturday,True
458,2022-04-03,3,4,April,2,2022,13,Sunday,True
459,2022-04-04,4,4,April,2,2022,14,Monday,False
460,2022-04-05,5,4,April,2,2022,14,Tuesday,False
461,2022-04-06,6,4,April,2,2022,14,Wednesday,False
462,2022-04-07,7,4,April,2,2022,14,Thursday,False
463,2022-04-08,8,4,April,2,2022,14,Friday,False
464,2022-04-09,9,4,April,2,2022,14,Saturday,True
465,2022-04-10,10,4,April,2,2022,14,Sunday,True
466,2022-04-11,11,4,April,2,2022,15,Monday,False
467,2022-04-12,12,4,April,2,2022,15,Tuesday,False
468,2022-04-13,13,4,April,2,2022,15,Wednesday,False
469,2022-04-14,14,4,April,2,2022,15,Thursday,False
470,2022-04-15,15,4,April,2,2022,15,Friday,False
471,2022-04-16,16,4,April,2,2022,15,Saturday,True
472,2022-04-17,17,4,April,2,2022,15,Sunday,True
473,2022-04-18,18,4,April,2,2022,16,Monday,False
474,2022-04-19,19,4,April,2,2022,16,Tuesday,False
475,2022-04-20,20,4,April,2,2022,16,Wednesday,False
476,2022-04-21,21,4,April,2,2022,16,Thursday,False
477,2022-04-22,22,4,April,2,2022,16,Friday,False
